"","mean_trend","sd_trend","skew_trend","ks_trend","entry_range_trend"
"1",0.00426436102810393,0.0190720240749519,-0.00201836137033814,0.00860813510339458,0.310904217042349
"2",-0.0101799620632877,0.0178617241486868,-0.00139955069052432,0.000713298209612532,0.359088480565981
"3",0.039201975967792,0.00261387954546112,-0.000196792923030214,0.00113919177846976,0.132172372012592
"4",-0.0700201414812734,0.0719210566501337,-0.00203944053090651,0.000471178370642961,0.647874081016744
"5",0.2103625080695,0.0210075691678142,-7.54040473238775e-05,-0.0009011724894375,0.203701240548712
"6",-0.0942497233804627,0.0251323240422269,-0.000950356874842996,0.000222767294669773,0.322985170893508
"7",0.0751726840966941,0.0111340932600347,0.00157061557580795,0.00241191626456881,0.649544561645116
"8",0.0892181201485134,0.0517195114976412,-0.0020049747605385,0.0025093687240172,0.617657063567605
"9",0.0125045717278548,0.0753643275621021,5.13674218187737e-05,-0.000243480912418372,0.478792649379795
"10",0.0345217277952471,0.00379159349858562,-0.00010944341460111,0.00305848543712819,0.15998821409467
